instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j305_7 	 7 	 9 	 81.00 	 117.00 	 0.3077 	 1200.02 
j305_8 	 3 	 9 	 71.00 	 82.00 	 0.1341 	 1200.05 
j305_8 	 5 	 9 	 79.00 	 92.00 	 0.1413 	 1200.01 
j305_8 	 7 	 9 	 82.00 	 107.00 	 0.2336 	 1200.02 
j305_9 	 3 	 9 	 63.00 	 64.00 	 0.0156 	 1200.02 
j305_9 	 5 	 2 	 70.00 	 70.00 	 0.0000 	 676.70 
j305_9 	 7 	 9 	 71.00 	 74.00 	 0.0405 	 1200.01 
j305_10 	 3 	 9 	 81.00 	 85.00 	 0.0471 	 1200.03 
j305_10 	 5 	 9 	 84.00 	 97.00 	 0.1340 	 1200.01 
j305_10 	 7 	 9 	 87.00 	 101.00 	 0.1386 	 1200.02 
j306_1 	 3 	 2 	 74.00 	 74.00 	 0.0000 	 171.68 
j306_1 	 5 	 2 	 82.00 	 82.00 	 0.0000 	 383.55 
j306_1 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 395.65 
j306_2 	 3 	 9 	 65.00 	 66.00 	 0.0152 	 1200.02 
j306_2 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 462.32 
j306_2 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 839.98 
j306_3 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 9.63 
j306_3 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 10.32 
j306_3 	 7 	 2 	 73.00 	 73.00 	 0.0000 	 16.99 
j306_4 	 3 	 2 	 55.00 	 55.00 	 0.0000 	 95.08 
j306_4 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 140.26 
j306_4 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 525.73 
j306_5 	 3 	 2 	 82.00 	 82.00 	 0.0000 	 22.76 
j306_5 	 5 	 2 	 90.00 	 90.00 	 0.0000 	 12.06 
j306_5 	 7 	 2 	 98.00 	 98.00 	 0.0000 	 25.14 
j306_6 	 3 	 2 	 47.00 	 47.00 	 0.0000 	 2.48 
j306_6 	 5 	 2 	 52.00 	 52.00 	 0.0000 	 11.30 
j306_6 	 7 	 2 	 56.00 	 56.00 	 0.0000 	 17.42 
j306_7 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 9.96 
j306_7 	 5 	 2 	 66.00 	 66.00 	 0.0000 	 22.36 
j306_7 	 7 	 2 	 70.00 	 70.00 	 0.0000 	 42.18 
j306_8 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 18.60 
j306_8 	 5 	 2 	 59.00 	 59.00 	 0.0000 	 28.82 
j306_8 	 7 	 2 	 60.00 	 60.00 	 0.0000 	 62.26 
j306_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 8.50 
j306_9 	 5 	 2 	 72.00 	 72.00 	 0.0000 	 13.33 
j306_9 	 7 	 2 	 77.00 	 77.00 	 0.0000 	 17.98 
j306_10 	 3 	 2 	 76.00 	 76.00 	 0.0000 	 19.80 
j306_10 	 5 	 2 	 84.00 	 84.00 	 0.0000 	 23.92 
j306_10 	 7 	 2 	 90.00 	 90.00 	 0.0000 	 57.76 
j307_1 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 1.21 
j307_1 	 5 	 2 	 76.00 	 76.00 	 0.0000 	 4.11 
j307_1 	 7 	 2 	 81.00 	 81.00 	 0.0000 	 3.03 
j307_2 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 3.77 
j307_2 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 4.66 
j307_2 	 7 	 2 	 65.00 	 65.00 	 0.0000 	 7.41 
j307_3 	 3 	 2 	 55.00 	 55.00 	 0.0000 	 3.29 
j307_3 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 7.93 
j307_3 	 7 	 2 	 63.00 	 63.00 	 0.0000 	 11.27 
j307_4 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 2.95 
j307_4 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 8.13 
j307_4 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 19.02 
j307_5 	 3 	 2 	 58.00 	 58.00 	 0.0000 	 3.97 
j307_5 	 5 	 2 	 65.00 	 65.00 	 0.0000 	 7.02 
j307_5 	 7 	 2 	 68.00 	 68.00 	 0.0000 	 11.26 
j307_6 	 3 	 2 	 47.00 	 47.00 	 0.0000 	 1.01 
j307_6 	 5 	 2 	 52.00 	 52.00 	 0.0000 	 2.41 
j307_6 	 7 	 2 	 55.00 	 55.00 	 0.0000 	 3.73 
j307_7 	 3 	 2 	 65.00 	 65.00 	 0.0000 	 3.99 
j307_7 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 10.15 
j307_7 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 8.39 
j307_8 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 4.18 
j307_8 	 5 	 2 	 63.00 	 63.00 	 0.0000 	 10.12 
j307_8 	 7 	 2 	 67.00 	 67.00 	 0.0000 	 22.02 
j307_9 	 3 	 2 	 75.00 	 75.00 	 0.0000 	 6.35 
j307_9 	 5 	 2 	 83.00 	 83.00 	 0.0000 	 10.28 
j307_9 	 7 	 2 	 88.00 	 88.00 	 0.0000 	 16.81 
j307_10 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 10.55 
j307_10 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 12.59 
j307_10 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 21.47 
j308_1 	 3 	 2 	 59.00 	 59.00 	 0.0000 	 0.72 
