instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j308_4 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.26 
j308_5 	 3 	 2 	 73.00 	 73.00 	 0.0000 	 0.39 
j308_5 	 5 	 2 	 80.00 	 80.00 	 0.0000 	 0.99 
j308_5 	 7 	 2 	 85.00 	 85.00 	 0.0000 	 1.30 
j308_6 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.48 
j308_6 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 0.95 
j308_6 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.18 
j308_7 	 3 	 2 	 53.00 	 53.00 	 0.0000 	 0.41 
j308_7 	 5 	 2 	 59.00 	 59.00 	 0.0000 	 0.77 
j308_7 	 7 	 2 	 62.00 	 62.00 	 0.0000 	 1.24 
j308_8 	 3 	 2 	 66.00 	 66.00 	 0.0000 	 0.42 
j308_8 	 5 	 2 	 73.00 	 73.00 	 0.0000 	 0.87 
j308_8 	 7 	 2 	 78.00 	 78.00 	 0.0000 	 1.14 
j308_9 	 3 	 2 	 51.00 	 51.00 	 0.0000 	 0.47 
j308_9 	 5 	 2 	 57.00 	 57.00 	 0.0000 	 0.89 
j308_9 	 7 	 2 	 60.00 	 60.00 	 0.0000 	 1.15 
j308_10 	 3 	 2 	 81.00 	 81.00 	 0.0000 	 0.47 
j308_10 	 5 	 2 	 89.00 	 89.00 	 0.0000 	 0.88 
j308_10 	 7 	 2 	 96.00 	 96.00 	 0.0000 	 1.19 
j309_1 	 3 	 9 	 69.00 	 104.00 	 0.3365 	 1200.02 
j309_1 	 5 	 9 	 76.00 	 112.00 	 0.3214 	 1200.02 
j309_1 	 7 	 9 	 82.00 	 120.00 	 0.3167 	 1200.02 
j309_2 	 3 	 9 	 59.00 	 118.00 	 0.5000 	 1200.02 
j309_2 	 5 	 9 	 65.00 	 126.00 	 0.4841 	 1200.02 
j309_2 	 7 	 9 	 68.00 	 134.00 	 0.4925 	 1200.02 
j309_3 	 3 	 9 	 70.00 	 93.00 	 0.2473 	 1200.02 
j309_3 	 5 	 9 	 78.00 	 104.00 	 0.2500 	 1200.02 
j309_3 	 7 	 9 	 83.00 	 112.00 	 0.2589 	 1200.02 
j309_4 	 3 	 9 	 67.00 	 100.00 	 0.3300 	 1200.01 
j309_4 	 5 	 9 	 76.00 	 105.00 	 0.2762 	 1200.02 
j309_4 	 7 	 9 	 80.00 	 113.00 	 0.2920 	 1200.03 
j309_5 	 3 	 9 	 68.00 	 87.00 	 0.2184 	 1200.01 
j309_5 	 5 	 9 	 74.00 	 94.00 	 0.2128 	 1200.03 
j309_5 	 7 	 9 	 78.00 	 100.00 	 0.2200 	 1200.02 
j309_6 	 3 	 9 	 61.00 	 87.00 	 0.2989 	 1200.01 
j309_6 	 5 	 9 	 69.00 	 97.00 	 0.2887 	 1200.02 
j309_6 	 7 	 9 	 72.00 	 98.00 	 0.2653 	 1200.03 
j309_7 	 3 	 9 	 55.00 	 84.00 	 0.3452 	 1200.01 
j309_7 	 5 	 9 	 61.00 	 95.00 	 0.3579 	 1200.01 
j309_7 	 7 	 9 	 63.00 	 99.00 	 0.3636 	 1200.02 
j309_8 	 3 	 9 	 73.00 	 111.00 	 0.3423 	 1200.01 
j309_8 	 5 	 9 	 80.00 	 131.00 	 0.3893 	 1200.01 
j309_8 	 7 	 9 	 86.00 	 139.00 	 0.3813 	 1200.03 
j309_9 	 3 	 9 	 51.00 	 88.00 	 0.4205 	 1200.03 
j309_9 	 5 	 9 	 57.00 	 96.00 	 0.4062 	 1200.02 
j309_9 	 7 	 9 	 59.00 	 102.00 	 0.4216 	 1200.02 
j309_10 	 3 	 9 	 77.00 	 114.00 	 0.3246 	 1200.02 
j309_10 	 5 	 9 	 85.00 	 124.00 	 0.3145 	 1200.03 
j309_10 	 7 	 9 	 92.00 	 132.00 	 0.3030 	 1200.02 
j3010_1 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 5.05 
j3010_1 	 5 	 2 	 61.00 	 61.00 	 0.0000 	 6.90 
j3010_1 	 7 	 2 	 64.00 	 64.00 	 0.0000 	 12.40 
j3010_2 	 3 	 9 	 68.00 	 70.00 	 0.0286 	 1200.01 
j3010_2 	 5 	 9 	 75.00 	 78.00 	 0.0385 	 1200.04 
j3010_2 	 7 	 9 	 79.00 	 83.00 	 0.0482 	 1200.03 
j3010_3 	 3 	 9 	 76.00 	 77.00 	 0.0130 	 1200.02 
j3010_3 	 5 	 9 	 85.00 	 86.00 	 0.0116 	 1200.02 
j3010_3 	 7 	 9 	 92.00 	 93.00 	 0.0108 	 1200.02 
j3010_4 	 3 	 9 	 72.00 	 73.00 	 0.0137 	 1200.01 
j3010_4 	 5 	 9 	 80.00 	 81.00 	 0.0123 	 1200.05 
j3010_4 	 7 	 9 	 85.00 	 86.00 	 0.0116 	 1200.03 
j3010_5 	 3 	 2 	 54.00 	 54.00 	 0.0000 	 54.52 
j3010_5 	 5 	 9 	 60.00 	 61.00 	 0.0164 	 1200.02 
j3010_5 	 7 	 9 	 63.00 	 64.00 	 0.0156 	 1200.02 
j3010_6 	 3 	 9 	 53.00 	 58.00 	 0.0862 	 1200.02 
j3010_6 	 5 	 9 	 59.00 	 64.00 	 0.0781 	 1200.02 
j3010_6 	 7 	 9 	 62.00 	 69.00 	 0.1014 	 1200.03 
j3010_7 	 3 	 2 	 63.00 	 63.00 	 0.0000 	 49.99 
j3010_7 	 5 	 2 	 71.00 	 71.00 	 0.0000 	 61.65 
j3010_7 	 7 	 2 	 76.00 	 76.00 	 0.0000 	 118.12 
j3010_8 	 3 	 9 	 63.00 	 68.00 	 0.0735 	 1200.02 
j3010_8 	 5 	 9 	 71.00 	 76.00 	 0.0658 	 1200.02 
j3010_8 	 7 	 9 	 77.00 	 81.00 	 0.0494 	 1200.02 
j3010_9 	 3 	 2 	 64.00 	 64.00 	 0.0000 	 0.80 
j3010_9 	 5 	 2 	 72.00 	 72.00 	 0.0000 	 1.02 
j3010_9 	 7 	 2 	 75.00 	 75.00 	 0.0000 	 1.48 
j3010_10 	 3 	 2 	 54.00 	 54.00 	 0.0000 	 148.43 
j3010_10 	 5 	 2 	 60.00 	 60.00 	 0.0000 	 352.30 
j3010_10 	 7 	 2 	 63.00 	 63.00 	 0.0000 	 415.62 
j3011_1 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 96.65 
j3011_1 	 5 	 2 	 75.00 	 75.00 	 0.0000 	 2.80 
j3011_1 	 7 	 2 	 80.00 	 80.00 	 0.0000 	 12.94 
j3011_2 	 3 	 2 	 71.00 	 71.00 	 0.0000 	 2.73 
j3011_2 	 5 	 2 	 79.00 	 79.00 	 0.0000 	 2.64 
j3011_2 	 7 	 2 	 84.00 	 84.00 	 0.0000 	 4.40 
j3011_3 	 3 	 2 	 96.00 	 96.00 	 0.0000 	 0.62 
j3011_3 	 5 	 2 	 104.00 	 104.00 	 0.0000 	 3.22 
j3011_3 	 7 	 2 	 112.00 	 112.00 	 0.0000 	 1.38 
j3011_4 	 3 	 2 	 78.00 	 78.00 	 0.0000 	 25.24 
j3011_4 	 5 	 2 	 86.00 	 86.00 	 0.0000 	 34.19 
j3011_4 	 7 	 2 	 94.00 	 94.00 	 0.0000 	 430.80 
j3011_5 	 3 	 9 	 62.00 	 63.00 	 0.0159 	 1200.04 
j3011_5 	 5 	 9 	 69.00 	 70.00 	 0.0143 	 1200.02 
j3011_5 	 7 	 9 	 74.00 	 75.00 	 0.0133 	 1200.03 
j3011_6 	 3 	 2 	 56.00 	 56.00 	 0.0000 	 3.93 
j3011_6 	 5 	 2 	 62.00 	 62.00 	 0.0000 	 8.52 
j3011_6 	 7 	 2 	 66.00 	 66.00 	 0.0000 	 4.43 
j3011_7 	 3 	 2 	 49.00 	 49.00 	 0.0000 	 8.38 
j3011_7 	 5 	 2 	 54.00 	 54.00 	 0.0000 	 366.72 
j3011_7 	 7 	 2 	 55.00 	 55.00 	 0.0000 	 51.60 
j3011_8 	 3 	 2 	 77.00 	 77.00 	 0.0000 	 2.96 
j3011_8 	 5 	 2 	 85.00 	 85.00 	 0.0000 	 21.72 
j3011_8 	 7 	 2 	 92.00 	 92.00 	 0.0000 	 17.55 
j3011_9 	 3 	 2 	 82.00 	 82.00 	 0.0000 	 0.60 
j3011_9 	 5 	 2 	 91.00 	 91.00 	 0.0000 	 1.00 
j3011_9 	 7 	 2 	 98.00 	 98.00 	 0.0000 	 1.44 
j3011_10 	 3 	 2 	 50.00 	 50.00 	 0.0000 	 2.59 
j3011_10 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 2.73 
j3011_10 	 7 	 2 	 59.00 	 59.00 	 0.0000 	 5.64 
j3012_1 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 0.54 
j3012_1 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 0.84 
j3012_1 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.59 
j3012_2 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 1.00 
j3012_2 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 0.86 
j3012_2 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 1.64 
j3012_3 	 3 	 2 	 49.00 	 49.00 	 0.0000 	 0.61 
j3012_3 	 5 	 2 	 55.00 	 55.00 	 0.0000 	 0.89 
j3012_3 	 7 	 2 	 57.00 	 57.00 	 0.0000 	 1.58 
j3012_4 	 3 	 2 	 78.00 	 78.00 	 0.0000 	 0.47 
j3012_4 	 5 	 2 	 87.00 	 87.00 	 0.0000 	 0.67 
j3012_4 	 7 	 2 	 93.00 	 93.00 	 0.0000 	 1.33 
j3012_5 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 0.62 
j3012_5 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 0.88 
j3012_5 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.26 
j3012_6 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 0.56 
j3012_6 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 1.68 
