instance 	 Gamma 	 status 	 objbound 	 objval 	 mipgap 	 runtime 
j3011_10 	 5 	 2 	 56.00 	 56.00 	 0.0000 	 8.56 
j3011_10 	 7 	 2 	 59.00 	 59.00 	 0.0000 	 6.46 
j3012_1 	 3 	 2 	 61.00 	 61.00 	 0.0000 	 2.49 
j3012_1 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 2.41 
j3012_1 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 2.79 
j3012_2 	 3 	 2 	 60.00 	 60.00 	 0.0000 	 3.19 
j3012_2 	 5 	 2 	 68.00 	 68.00 	 0.0000 	 2.18 
j3012_2 	 7 	 2 	 71.00 	 71.00 	 0.0000 	 7.10 
j3012_3 	 3 	 2 	 49.00 	 49.00 	 0.0000 	 2.03 
j3012_3 	 5 	 2 	 55.00 	 55.00 	 0.0000 	 1.66 
j3012_3 	 7 	 2 	 57.00 	 57.00 	 0.0000 	 1.38 
j3012_4 	 3 	 2 	 78.00 	 78.00 	 0.0000 	 1.44 
j3012_4 	 5 	 2 	 87.00 	 87.00 	 0.0000 	 1.33 
j3012_4 	 7 	 2 	 93.00 	 93.00 	 0.0000 	 1.80 
j3012_5 	 3 	 2 	 62.00 	 62.00 	 0.0000 	 1.28 
j3012_5 	 5 	 2 	 69.00 	 69.00 	 0.0000 	 1.82 
j3012_5 	 7 	 2 	 72.00 	 72.00 	 0.0000 	 1.55 
j3012_6 	 3 	 2 	 68.00 	 68.00 	 0.0000 	 2.33 
j3012_6 	 5 	 2 	 74.00 	 74.00 	 0.0000 	 5.12 
j3012_6 	 7 	 2 	 79.00 	 79.00 	 0.0000 	 9.92 
j3012_7 	 3 	 2 	 70.00 	 70.00 	 0.0000 	 1.86 
j3012_7 	 5 	 2 	 78.00 	 78.00 	 0.0000 	 2.03 
j3012_7 	 7 	 2 	 82.00 	 82.00 	 0.0000 	 2.40 
